CREDENTIAL_TITLE_REPORTED_TO_NSC	CREDENTIAL_LEVEL_CODE	CREDENTIAL_LEVEL_DESC
 *AAS MARKETING & MGT	A	Associates
 AA  ACCOUNTING	A	Associates
 ASSOC APPLIED SC - FOR TECH	A	Associates
 ASSOC OF AGRI BUS	A	Associates
 ASSOC OF DATA PROC	A	Associates
 ASSOCIATE DEGREE	A	Associates
 ASSOCIATE DEGREE IN BUSINESS	A	Associates
 ASSOCIATE DEGREE IN HEALTH SCIENCES	A	Associates
 ASSOCIATE IN APPLIED SCIENCE	A	Associates
 ASSOCIATE IN ARTS	A	Associates
 ASSOCIATE OF APPLIED SCIENCE	A	Associates
 ASSOCIATE OF APPLIED SCIENCE DEGREES	A	Associates
 ASSOCIATE OF ARTS	A	Associates
 ASSOCIATE OF ARTS AND SCIENCE	A	Associates
 ASSOCIATE OF SCIENCE	A	Associates
 ASSOCIATE'S OF SCIENCE	A	Associates
 ASSOICATE IN APPLIED SCIENCE PHYSICAL THERAPIST ASSISTANT	A	Associates
 Associate of Arts Nursing	A	Associates
 SSOCIATE OF ARTS	A	Associates
"""AAS - BUSINESS, GENERAL"""	A	Associates
"""AAS NURSING, AD"""	A	Associates
"""AAS, OPT A, GENERAL TRANSFER"""	A	Associates
"""AAS, OPTIN A, GENERAL TRANSFER"""	A	Associates
"""AAS-BUSINESS MGMT, MRKT SPEC"""	A	Associates
"""AAS-BUSINESS, GENERAL"""	A	Associates
"""AAS-MUSIC, COMMERCIAL EMPHASIS"""	A	Associates
"""AAS-MUSIC, JAZZ EMPHASIS"""	A	Associates
"""AAS-T COMM, BUSINESS & MEDIA"""	A	Associates
"""ASSOC IN APPLIED ARTS/SCIENCES AUDIO, DIGITAL AUDIO,MIDI ENGR"""	A	Associates
"""ASSOCIATE OF APPLIED SCIENCE HEATING, VENTILATION, AND AIR CONDITIONING"""	A	Associates
# ASSOC ARTS & SCIENCE W/HONOR	A	Associates
# ASSOCIATE ARTS & SCIENCE	A	Associates
# ASSOCIATE OF ARTS #	A	Associates
# ASSOCIATE OF ARTS #(BUS ADM)	A	Associates
#ASSOCIATE IN ARTS	A	Associates
#ASSOCIATE IN ARTS DTA	A	Associates
#ASSOCIATE IN ARTS W/HNRS  DTA	A	Associates
#ASSOCIATE IN ARTS#	A	Associates
#ASSOCIATE OF ARTS	A	Associates
#ASSOCIATE OF ARTS  -APS PRE-ENGINEERING	A	Associates
#ASSOCIATE OF ARTS -  APS-EARLY CHILDHOOD EDUC	A	Associates
#ASSOCIATE OF ARTS - APS - BUSINESS ADMIN	A	Associates
#ASSOCIATE OF ARTS - APS - CRIMINAL JUSTICE	A	Associates
#ASSOCIATE OF ARTS - APS - CRMINIAL JUSTICE	A	Associates
#ASSOCIATE OF ARTS - APS - EARLY CHILDHOOD EDUC	A	Associates
#ASSOCIATE OF ARTS - APS - EARLY CHILDHOOT EDUC	A	Associates
#ASSOCIATE OF ARTS - APS - OFFICE ADMINISTRATION	A	Associates
#ASSOCIATE OF ARTS - APS BUSINESS ADMIN	A	Associates
#ASSOCIATE OF ARTS - APS BUSINESS ADMINISTRATION	A	Associates
#ASSOCIATE OF ARTS - APS CRIMINAL JUSTICE	A	Associates
#ASSOCIATE OF ARTS - APS EARLY CHILDHHOD EDUC	A	Associates
#ASSOCIATE OF ARTS - APS EARLY CHILDHOOD ED	A	Associates
#ASSOCIATE OF ARTS - APS EARLY CHILDHOOD EDUC	A	Associates
#ASSOCIATE OF ARTS - APS PRE-ENGINEERING	A	Associates
#ASSOCIATE OF ARTS - APS- BUSINESS ADMIN	A	Associates
#ASSOCIATE OF ARTS - APS- EARLY CHILDHOOD EDUC	A	Associates
#ASSOCIATE OF ARTS - APS-EARLY CHILDHOOD EDUC	A	Associates
#ASSOCIATE OF ARTS - HONORS	A	Associates
#ASSOCIATE OF ARTS DEGREE	A	Associates
#ASSOCIATE OF ARTS#	A	Associates
#ASSOCIATE OF ARTS- APS EARLY CHILDHOOD EDUC	A	Associates
(AD) ASSOCIATE DEGREE IN AIRLINE AGENT	A	Associates
(AD) ASSOCIATE DEGREE IN BUSINESS ADMINISTRATION WITH MAJOR IN ACCOUNTING	A	Associates
(AD) ASSOCIATE DEGREE IN BUSINESS ADMINISTRATION WITH MAJOR IN ENTREPRENEURSHIP	A	Associates
(AD) ASSOCIATE DEGREE IN BUSINESS ADMINISTRATION WITH MAJOR IN INFORMATION SYSTE	A	Associates
(AD) ASSOCIATE DEGREE IN BUSINESS ADMINISTRATION WITH MAJOR IN MARKETING	A	Associates
(AD) ASSOCIATE DEGREE IN COMPUTER SYSTEM OPERATOR	A	Associates
(AD) ASSOCIATE DEGREE IN CRIMINAL JUSTICE	A	Associates
(AD) ASSOCIATE DEGREE IN DENTAL ASSISTANT	A	Associates
(AD) ASSOCIATE DEGREE IN DENTAL ASSISTANT WITH EXPANDED FUNCTIONS	A	Associates
(AD) ASSOCIATE DEGREE IN ELECTRICAL ENGINEERING TECHNOLOGY	A	Associates
(AD) ASSOCIATE DEGREE IN ELECTRICAL ENGINEERING TECHNOLOGY WITH RENEWABLE ENERGY	A	Associates
(AD) ASSOCIATE DEGREE IN ELECTRONICS ENGINEERING AND TELECOMUNICATION	A	Associates
(AD) ASSOCIATE DEGREE IN ELECTRONICS ENGINEERING TECHNOLOGY	A	Associates
(AD) ASSOCIATE DEGREE IN EMERGENCY AND DISASTER MANAGEMENT	A	Associates
(AD) ASSOCIATE DEGREE IN HOSPITALITY AND TOURISM GUIDE	A	Associates
(AD) ASSOCIATE DEGREE IN INFORMATION TECHNOLOGY	A	Associates
(AD) ASSOCIATE DEGREE IN INSTRUMENTATION	A	Associates
(AD) ASSOCIATE DEGREE IN NETWORK TECHNOLOGY AND APPLICATION DEVELOPMENT	A	Associates
(AD) ASSOCIATE DEGREE IN NURSING	A	Associates
(AD) ASSOCIATE DEGREE IN OFFICE ASSISTANT	A	Associates
(AD) ASSOCIATE DEGREE IN OFFICE SYSTEMS WITH MAJOR IN INFORMATION PROCESSING	A	Associates
(AD) ASSOCIATE DEGREE IN OFFICE SYSTEMS WITH MAJOR IN LEGAL SECRETARY	A	Associates
(AD) ASSOCIATE DEGREE IN OFFICE SYSTEMS WITH MAJOR IN MEDICAL SECRETARY	A	Associates
(AD) ASSOCIATE DEGREE IN PHARMACY ASSISTANT	A	Associates
(AD) ASSOCIATE DEGREE IN PHARMACY TECHNICIAN	A	Associates
(AD) ASSOCIATE DEGREE IN SYSTEM OPERATOR AND DATA ENTRY	A	Associates
(AD) ASSOCIATE DEGREE IN TOURISM AND HOSPITALITY	A	Associates
(AD) ASSOCIATE DEGREE IN TOURISM GUIDE	A	Associates
* ASSOCIATE OF ARTS *	A	Associates
**ASSOCIATE OF ARTS	A	Associates
*ASSOC IN ARTS & SCI W/HNRS	A	Associates
*ASSOC IN ARTS & SCIENCES	A	Associates
*ASSOCIATE IN ARTS	A	Associates
*ASSOCIATE IN ARTS*	A	Associates
*ASSOCIATE IN ARTS*      06/20	A	Associates
*ASSOCIATE IN ARTS*      08/17	A	Associates
*ASSOCIATE IN ARTS*      12/14	A	Associates
*ASSOCIATE IN SCIENCE-TRANSFER	A	Associates
*ASSOCIATE OF ARTS	A	Associates
*ASSOCIATE OF ARTS - HONORS	A	Associates
*ASSOCIATE OF ARTS*	A	Associates
*ASSOCIATE OF ARTS*      06/20	A	Associates
*ASSOCIATE OF ARTS*      12/14	A	Associates
.AAS	A	Associates
03-ASSOCIATE APPLIED SCIENCE	A	Associates
03-ASSOCIATE ARTS IN TEACHING	A	Associates
03-ASSOCIATE OF ARTS	A	Associates
2-YEAR ASSOCIATE DEGREE	A	Associates
A A	A	Associates
A A S	A	Associates
A A S   DATA PROCESSING	A	Associates
A A S - ACCOUNTING	A	Associates
A A S - AUTO MECH	A	Associates
A A S - BAKING	A	Associates
A A S - BODY & FENDER	A	Associates
A A S - CARDIO-PULMONARY	A	Associates
A A S - CARPENTRY	A	Associates
A A S - COSMETOLOGY	A	Associates
A A S - GEN BUS	A	Associates
A A S - HOTEL-MOTEL	A	Associates
A A S - PRINTING	A	Associates
A A S - PRODUCTION AG	A	Associates
A A S - WATER RESOURCES	A	Associates
A A S COMPUTER TECH	A	Associates
A S D H	A	Associates
A S IN APPLIED BUSINESS STUDIES	A	Associates
A S IN BUSINESS	A	Associates
A S IN COMMERCIAL ART	A	Associates
A S IN CRIMINAL JUSTICE	A	Associates
A S IN DENTAL HYGIENE	A	Associates
A S IN DENTAL LAB TECH	A	Associates
A S IN LABOR STUDIES	A	Associates
A S IN RADIOGRAPHY	A	Associates
A. S.	A	Associates
A. S. - DENTAL HYGIENE	A	Associates
A. S. IN ACCOUNTING TECHNOLOGY	A	Associates
A. S. IN APPLIED BUSINESS STUDIES	A	Associates
A. S. IN AUDIO TECHNOLOGY	A	Associates
A. S. IN BANKING & FINANCE	A	Associates
A. S. IN BIOLOGICAL SCIENCES	A	Associates
A. S. IN COSTUME CONSTRUCTION TECHNOLOGY	A	Associates
A. S. IN DISTRIBUTION & MARKETING TECH	A	Associates
A. S. IN EARLY CHILDHOOD DEVELOPMENT	A	Associates
A. S. IN EARLY CHILDHOOD EDUCATION	A	Associates
A. S. IN EDUCATION TECHNOLOGY	A	Associates
A. S. IN ELECTRODIAGNOSTIC TECHNOLOGY	A	Associates
A. S. IN FIRE SCIENCE TECHNOLOGY	A	Associates
A. S. IN HAZARD CONTROL TECHNOLOGY	A	Associates
A. S. IN HEALTH CARE MANAGEMENT	A	Associates
A. S. IN HEALTH INFORMATION TECHNOLOGY	A	Associates
A. S. IN HOSPITAL DIETARY TECHNOLOGY	A	Associates
A. S. IN LABOR STUDIES	A	Associates
A. S. IN MEDIA ARTS AND TECHNOLOGY	A	Associates
A. S. IN MEDICAL LABORATORY TECHNOLOGY	A	Associates
A. S. IN MEDICAL RECORD TECHNOLOGY	A	Associates
A. S. IN NATURAL SCIENCES & MATHEMATICS	A	Associates
A. S. IN OCCUPATIONAL THERAPY TECHNOLOGY	A	Associates
A. S. IN OFFICE TECHNOLOGY	A	Associates
A. S. IN OPERATIONS SUPERVISION TECH	A	Associates
A. S. IN OPERATIONS SUPERVISION TECH.	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY-OP TECH	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY-OPT TECHNICIAN	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY-OPTICIAN	A	Associates
A. S. IN OPTOMETRIC TECHNOLOGY/OPTICIANRY	A	Associates
A. S. IN PARAMEDIC SCIENCE	A	Associates
A. S. IN PRE-ELEMENTARY EDUCATION	A	Associates
A. S. IN RADIATION THERAPY	A	Associates
A. S. IN RADIOLOGIC SCIENCES	A	Associates
A. S. IN RECREATIONAL LEADERSHIP	A	Associates
A. S. IN RESPIRATORY THERAPY	A	Associates
A. S. IN STAGECRAFT TECHNOLOGY	A	Associates
A. S. IN STRING INSTRUMENT TECHNOLOGY	A	Associates
A. S. IN TRANSPORTATION & TRAFFIC TECH	A	Associates
A. S. REGISTERED NURSING	A	Associates
A. S. TEACHING	A	Associates
A.A.	A	Associates
A.A. - CORRECTIONS	A	Associates
A.A. 05/03/97	A	Associates
A.A. AIRCRAFT COMMERCIAL PILOT	A	Associates
A.A. AND AGEC-A	A	Associates
A.A. COMPUTER SCIENCE & INFORMATION PROCESSING	A	Associates
A.A. DEGREE	A	Associates
A.A. ELEMENTRY EDUCATION	A	Associates
A.A. FIRE TECHNOLOGY	A	Associates
A.A. GENERAL EDUCATION	A	Associates
A.A. GENERAL SCIENCE	A	Associates
A.A. GENERAL STUDIES	A	Associates
"A.A. GENERAL STUDIES, ARTS & HUMANITIES"	A	Associates
"A.A. GENERAL STUDIES, SCIENCE & MATH"	A	Associates
"A.A. GENERAL STUDIES, SOCIAL & BEHAVIORAL"	A	Associates
A.A. GENERAL STUDIES: SCIENCE & MATH	A	Associates
A.A. IN BUSINESS ADMIN	A	Associates
A.A. IN BUSINESS ADMINIST	A	Associates
A.A. IN BUSINESS ADMINISTRATION	A	Associates
A.A. IN CRIMINAL JUSTICE	A	Associates
A.A. IN GENERAL STUDIES	A	Associates
A.A. IN LAW ENFORCEMENT	A	Associates
A.A. IN LIBERAL ARTS	A	Associates
A.A. IN LIBERAL STUDIES	A	Associates
A.A. IN NURSING	A	Associates
